training/actor/actor_loss,training/actor/bound_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/alpha/current_vs_historical_ratio,training/alpha/historical_avg_loss,training/alpha/max_alpha_bound,training/alpha/min_alpha_bound,training/alpha/valid_count,training/alpha_weight,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/meanflow/consistency_loss,training/meanflow/flow_loss,training/meanflow/mean_flow_loss,training/metrics/actor_learning_rate,training/metrics/critic_learning_rate,training/total_loss,validation/actor/actor_loss,validation/actor/bound_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/alpha/current_vs_historical_ratio,validation/alpha/historical_avg_loss,validation/alpha/max_alpha_bound,validation/alpha/min_alpha_bound,validation/alpha/valid_count,validation/alpha_weight,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/meanflow/consistency_loss,validation/meanflow/flow_loss,validation/meanflow/mean_flow_loss,validation/total_loss,time/epoch_time,time/total_time,step,exploration/xy,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration
133.73534,0.0043659555,0.13474502,-133.73097,133.73097,1.0517427,0.32680893,1500.0,15.0,20,150.0,1.448056,-20.684626,-133.77832,-300.0919,10.902815,-6.382375,566.64636,0.022578694,0.3437189,0.3437189,9.756177e-05,0.0003,186.74123,132.0077,0.0041327504,0.15005544,-132.00357,132.00357,0.97039175,0.32455233,1500.0,15.0,20,150.0,1.0925293,-2.8999226,-131.94994,-164.57553,0.027057068,0.3149429,0.3149429,180.34167,0.003885046291351318,900.9448096752167,150000,,,,,,,,,,,
135.75266,0.0029371767,0.13779901,-135.74973,135.74973,0.788794,0.32382438,1500.0,15.0,20,150.0,1.1612312,2.756134,-135.72786,-306.49442,7.5495424,-8.917999,503.75665,0.024030916,0.25543073,0.25543073,9.7314376e-05,0.0003,175.22849,130.50035,0.0034605819,0.14959797,-130.49689,130.49689,1.0164162,0.32382438,1500.0,15.0,20,150.0,2.0300224,-3.3982866,-130.4899,-163.7195,0.027687766,0.32914034,0.32914034,181.90143,0.0037015599727630616,919.4526164531708,155000,,,,,,,,,,,
137.42375,0.0028798485,0.13828664,-137.42087,137.42087,0.9566936,0.32536367,1500.0,15.0,20,150.0,0.94622165,0.043684676,-137.47148,-310.65878,7.3816233,-7.0492625,500.52432,0.02540174,0.31127334,0.31127334,9.7055396e-05,0.0003,185.06097,131.23457,0.0034048674,0.14865722,-131.23117,131.23117,0.9792109,0.3242498,1500.0,15.0,20,150.0,1.7627513,-0.4907474,-131.219,-168.62703,0.02558844,0.31750894,0.31750894,180.62367,0.0037935892105102537,938.4205689430237,160000,,,,,,,,,,,
135.89996,0.0053270655,0.1387578,-135.89464,135.89464,0.9426758,0.32226092,1500.0,15.0,20,150.0,1.2859664,-13.018274,-135.99777,-169.99602,8.302824,-8.164374,504.2553,0.0244817,0.3037876,0.3037876,9.6784934e-05,0.0003,182.75406,130.61241,0.0050267465,0.13366903,-130.60739,130.60739,1.028217,0.32226092,1500.0,15.0,20,150.0,3.193246,-1.8799738,-130.58711,-169.84126,0.02360609,0.33135414,0.33135414,183.50879,0.0037624488353729247,957.2328195571899,165000,,,,,,,,,,,
133.99545,0.004954946,0.13408409,-133.9905,133.9905,1.0488423,0.3182558,1500.0,15.0,20,150.0,0.8618744,-2.2107017,-134.02644,-317.53427,10.178291,-9.758052,477.15094,0.020820314,0.33380014,0.33380014,9.6503034e-05,0.0003,184.92735,133.26256,0.004463412,0.13608709,-133.25809,133.25809,0.9907662,0.31816968,1500.0,15.0,20,150.0,1.095779,-10.235623,-133.23572,-169.15796,0.018562581,0.31523177,0.31523177,181.6431,0.003774869108200073,976.107171535492,170000,,,,,,,,,,,
132.23041,0.0032748384,0.13498211,-132.22713,132.22713,0.959297,0.31747535,1500.0,15.0,20,150.0,1.0475738,-1.3382688,-132.20108,-169.21198,7.5774693,-8.991019,453.5825,0.021345573,0.30455315,0.30455315,9.62098e-05,0.0003,178.96095,131.55232,0.003161754,0.13750671,-131.54916,131.54916,0.9507403,0.31747535,1500.0,15.0,20,150.0,1.4805131,-2.5885148,-131.53719,-169.1699,0.02425869,0.3018366,0.3018366,178.30832,0.003754649019241333,994.8804235458374,175000,,,,,,,,,,,
133.46619,0.003725984,0.13715833,-133.46246,133.46246,0.997754,0.31821704,1500.0,15.0,20,150.0,0.7218648,-29.411844,-133.4974,-170.86687,10.570131,-10.776402,461.18597,0.028155873,0.31750232,0.31750232,9.59053e-05,0.0003,181.8134,128.92953,0.0039576893,0.14389025,-128.92558,128.92558,0.98420316,0.31709373,1500.0,15.0,20,150.0,1.5903478,-11.875511,-128.96184,-170.12428,0.024023455,0.31208465,0.31208465,177.33258,0.003959530019760132,1014.6780796051025,180000,,,,,,,,,,,
137.17473,0.0031070947,0.13845076,-137.17162,137.17162,1.1041489,0.31609297,1500.0,15.0,20,150.0,0.791304,-14.529104,-137.19394,-166.54962,11.323461,-11.682962,508.72174,0.025631314,0.3490137,0.3490137,9.558961e-05,0.0003,190.31808,131.24393,0.003402926,0.13977934,-131.24052,131.24052,1.1094618,0.31609297,1500.0,15.0,20,150.0,2.459992,-1.4199675,-131.25539,-164.35048,0.030658904,0.35069308,0.35069308,186.30788,0.0038313661098480223,1033.8349168300629,185000,,,,,,,,,,,
135.64005,0.003553946,0.13351378,-135.63649,135.63649,0.9042749,0.3132159,1500.0,15.0,20,150.0,0.79514134,-5.8429728,-135.62598,-322.33722,7.8264394,-6.977185,452.80896,0.023682414,0.28323328,0.28323328,9.526282e-05,0.0003,178.92017,131.10233,0.0033183945,0.13740538,-131.09901,131.09901,1.0756143,0.3101916,1500.0,15.0,20,150.0,1.2375798,-23.14908,-131.08452,-165.00233,0.025298182,0.33364654,0.33364654,182.38689,0.003962290239334107,1053.6463747024536,190000,,,,,,,,,,,
133.98792,0.0042524547,0.13748462,-133.98366,133.98366,1.1528522,0.30877534,1500.0,15.0,20,150.0,0.9232744,-12.571019,-133.98286,-167.94339,15.161583,-7.4891515,489.40616,0.024363127,0.3559723,0.3559723,9.4925024e-05,0.0003,188.30704,132.29404,0.00403173,0.13379723,-132.29001,132.29001,1.1671773,0.30877534,1500.0,15.0,20,150.0,1.1690862,-5.1659117,-132.35284,-168.62431,0.021362487,0.36039555,0.36039555,187.52246,0.003903208065032959,1073.16242146492,195000,,,,,,,,,,,
139.3037,0.003644093,0.13515736,-139.30005,139.30005,0.9872622,0.30927956,1500.0,15.0,20,150.0,0.61613464,-10.067593,-139.32951,-177.1847,10.606669,-7.8921666,482.50415,0.022313004,0.30534002,0.30534002,9.457632e-05,0.0003,185.72083,135.95888,0.0030975887,0.13729623,-135.95578,135.95578,1.0218946,0.30898288,1500.0,15.0,20,150.0,0.8204142,-8.60799,-135.92213,-163.01215,0.022327065,0.31574792,0.31574792,184.14148,0.004060551595687866,1093.4651856422424,200000,,,,,,,,,,,
135.78455,0.0036573356,0.13430564,-135.78088,135.78088,0.9993125,0.30966887,1500.0,15.0,20,150.0,0.66009575,-14.009689,-135.79596,-320.13272,11.556317,-10.488559,481.32742,0.024506735,0.30945596,0.30945596,9.42168e-05,0.0003,182.86304,126.5337,0.003523611,0.14686091,-126.530174,126.530174,1.0078646,0.30966887,1500.0,15.0,20,150.0,1.9461958,-7.2645526,-126.51764,-165.49182,0.025827065,0.31210428,0.31210428,175.29553,0.02305080533027649,1208.7192187309265,205000,,,,,,,,,,,
134.8358,0.0035536792,0.13256553,-134.83224,134.83224,1.0978053,0.30908966,1500.0,15.0,20,150.0,0.5205716,-15.249271,-134.81287,-166.89706,8.026449,-12.869124,465.15314,0.020368574,0.33932024,0.33932024,9.384654e-05,0.0003,186.25441,133.38478,0.003521383,0.14691855,-133.38126,133.38126,0.9451972,0.3093656,1500.0,15.0,20,150.0,0.87429845,-18.339891,-133.35767,-168.60645,0.024225457,0.2924115,0.2924115,178.1208,0.0037102715969085692,1227.2705826759338,210000,,,,,,,,,,,
